file,filename,model,domain,condition,iteration,corpus_type,is_partial,word_count,file_size_kb,issues,source,jsd_score,tfidf_distance,bert_score_f1
E:\Research paper\output\chatgpt_policy_drafts\National innovation iteration 8 GPT.txt,National innovation iteration 8 GPT.txt,ChatGPT,National Security,Innovation,8.0,Primary,False,1138,8.14,none,ai_draft,0.6920111390876437,0.7486181821357947,0.581722617149353
E:\Research paper\output\chatgpt_policy_drafts\National innovation iteration 9 GPT.txt,National innovation iteration 9 GPT.txt,ChatGPT,National Security,Innovation,9.0,Primary,False,1120,8.31,none,ai_draft,0.7021602503452293,0.7613005689151957,0.5738377571105957
E:\Research paper\output\chatgpt_policy_drafts\National status quo iteration 1 GPT.txt,National status quo iteration 1 GPT.txt,ChatGPT,National Security,Status Quo,1.0,Primary,False,1174,7.56,none,ai_draft,0.5594977926420149,0.47193406581021424,0.6319363713264465
E:\Research paper\output\chatgpt_policy_drafts\National status quo iteration 10 GPT.txt,National status quo iteration 10 GPT.txt,ChatGPT,National Security,Status Quo,10.0,Primary,False,982,6.74,none,ai_draft,0.6110002461789468,0.5491807935395633,0.5980695486068726
E:\Research paper\output\chatgpt_policy_drafts\National status quo iteration 2 GPT.txt,National status quo iteration 2 GPT.txt,ChatGPT,National Security,Status Quo,2.0,Primary,False,1089,6.99,none,ai_draft,0.5896669018598788,0.5305476866674673,0.6273703575134277
E:\Research paper\output\chatgpt_policy_drafts\National status quo iteration 3 GPT.txt,National status quo iteration 3 GPT.txt,ChatGPT,National Security,Status Quo,3.0,Primary,False,1218,7.73,none,ai_draft,0.5333294937087621,0.4103828927779931,0.6493638753890991
E:\Research paper\output\chatgpt_policy_drafts\National status quo iteration 4 GPT.txt,National status quo iteration 4 GPT.txt,ChatGPT,National Security,Status Quo,4.0,Primary,False,1058,6.92,none,ai_draft,0.5878434679006453,0.48586550472472134,0.6253380179405212
E:\Research paper\output\chatgpt_policy_drafts\National status quo iteration 5 GPT.txt,National status quo iteration 5 GPT.txt,ChatGPT,National Security,Status Quo,5.0,Primary,False,943,6.39,none,ai_draft,0.587313934132759,0.5224950880572933,0.6221635341644287
E:\Research paper\output\chatgpt_policy_drafts\National status quo iteration 6 GPT.txt,National status quo iteration 6 GPT.txt,ChatGPT,National Security,Status Quo,6.0,Primary,False,1071,7.12,none,ai_draft,0.5700365027762068,0.4840419542457659,0.620408833026886
E:\Research paper\output\chatgpt_policy_drafts\National status quo iteration 7 GPT.txt,National status quo iteration 7 GPT.txt,ChatGPT,National Security,Status Quo,7.0,Primary,False,875,6.13,none,ai_draft,0.6050650308173277,0.5604339841411985,0.6165443658828735
E:\Research paper\output\chatgpt_policy_drafts\National status quo iteration 8 GPT.txt,National status quo iteration 8 GPT.txt,ChatGPT,National Security,Status Quo,8.0,Primary,False,1118,7.38,none,ai_draft,0.5770358026746152,0.4618224950774523,0.627690315246582
E:\Research paper\output\chatgpt_policy_drafts\National status quo iteration 9 GPT.txt,National status quo iteration 9 GPT.txt,ChatGPT,National Security,Status Quo,9.0,Primary,False,1039,6.9,none,ai_draft,0.6058058329381004,0.5210144520037192,0.6172816753387451
E:\Research paper\output\chatgpt_policy_drafts\National unconstrained iteration 1 GPT.txt,National unconstrained iteration 1 GPT.txt,ChatGPT,National Security,Unconstrained,1.0,Primary,False,1074,7.44,none,ai_draft,0.6485825846579443,0.6866600343922595,0.6054015755653381
E:\Research paper\output\chatgpt_policy_drafts\National unconstrained iteration 10 GPT.txt,National unconstrained iteration 10 GPT.txt,ChatGPT,National Security,Unconstrained,10.0,Primary,False,905,6.33,none,ai_draft,0.6662310901861689,0.7190780669029779,0.5884823799133301
E:\Research paper\output\chatgpt_policy_drafts\National unconstrained iteration 2 GPT.txt,National unconstrained iteration 2 GPT.txt,ChatGPT,National Security,Unconstrained,2.0,Primary,False,1070,7.39,none,ai_draft,0.6617657534192439,0.6940046931550545,0.5905192494392395
E:\Research paper\output\chatgpt_policy_drafts\National unconstrained iteration 3 GPT.txt,National unconstrained iteration 3 GPT.txt,ChatGPT,National Security,Unconstrained,3.0,Primary,False,1059,7.28,none,ai_draft,0.6562626778932306,0.6642914692298139,0.591279149055481
E:\Research paper\output\chatgpt_policy_drafts\National unconstrained iteration 4 GPT.txt,National unconstrained iteration 4 GPT.txt,ChatGPT,National Security,Unconstrained,4.0,Primary,False,981,6.9,none,ai_draft,0.6780411337859676,0.7672257078112176,0.5810637474060059
E:\Research paper\output\chatgpt_policy_drafts\National unconstrained iteration 5 GPT.txt,National unconstrained iteration 5 GPT.txt,ChatGPT,National Security,Unconstrained,5.0,Primary,False,1096,7.66,none,ai_draft,0.6742705364638971,0.7057514352756764,0.579529881477356
E:\Research paper\output\chatgpt_policy_drafts\National unconstrained iteration 6 GPT.txt,National unconstrained iteration 6 GPT.txt,ChatGPT,National Security,Unconstrained,6.0,Primary,False,996,6.76,none,ai_draft,0.6433054848118038,0.6718652296393457,0.5999392867088318
E:\Research paper\output\chatgpt_policy_drafts\National unconstrained iteration 7 GPT.txt,National unconstrained iteration 7 GPT.txt,ChatGPT,National Security,Unconstrained,7.0,Primary,False,903,6.26,none,ai_draft,0.669661729466612,0.7264849191097242,0.591808021068573
