file,filename,model,domain,condition,iteration,corpus_type,is_partial,word_count,file_size_kb,issues,source,jsd_score,tfidf_distance,bert_score_f1,mattr,hedge_density,mean_sent_len,sent_len_var,sent_var_red
E:\Research paper\output\chatgpt_policy_drafts\DPDP status quo iteration 2 GPT.txt,DPDP status quo iteration 2 GPT.txt,ChatGPT,Data Protection,Status Quo,2.0,Primary,False,1352,8.91,none,ai_draft,0.4880757690060727,0.1398263063171123,0.6838193535804749,0.7306589785831961,0.6656804733727811,20.50769230769231,1002.2807100591715,-56.28031769482257
E:\Research paper\output\chatgpt_policy_drafts\DPDP status quo iteration 3 GPT.txt,DPDP status quo iteration 3 GPT.txt,ChatGPT,Data Protection,Status Quo,3.0,Primary,False,989,6.75,none,ai_draft,0.5772597139980646,0.2386569170324146,0.6489343643188477,0.7263945578231292,0.40444893832153694,20.893617021276597,115.45676776822091,-94.96375301235594
E:\Research paper\output\chatgpt_policy_drafts\DPDP status quo iteration 4 GPT.txt,DPDP status quo iteration 4 GPT.txt,ChatGPT,Data Protection,Status Quo,4.0,Primary,False,1107,7.47,none,ai_draft,0.5535447299767031,0.2125838699519706,0.654118537902832,0.7702114803625377,0.45167118337850043,27.375,1141.084375,-50.22567444657622
E:\Research paper\output\chatgpt_policy_drafts\DPDP status quo iteration 5 GPT.txt,DPDP status quo iteration 5 GPT.txt,ChatGPT,Data Protection,Status Quo,5.0,Primary,False,1016,6.84,none,ai_draft,0.5754025071526829,0.2584627574078694,0.6494216918945312,0.7593612334801763,0.6889763779527559,23.3953488372093,162.0530016224986,-92.93121609901306
E:\Research paper\output\chatgpt_policy_drafts\DPDP status quo iteration 6 GPT.txt,DPDP status quo iteration 6 GPT.txt,ChatGPT,Data Protection,Status Quo,6.0,Primary,False,1194,7.79,none,ai_draft,0.4946527081766463,0.1466995325497931,0.6828097105026245,0.7534746543778802,0.7537688442211055,27.25581395348837,894.376419686317,-60.98712412850949
E:\Research paper\output\chatgpt_policy_drafts\DPDP status quo iteration 7 GPT.txt,DPDP status quo iteration 7 GPT.txt,ChatGPT,Data Protection,Status Quo,7.0,Primary,False,1384,8.95,none,ai_draft,0.4881296942386629,0.1299909660138425,0.6991844773292542,0.7354066985645933,1.0115606936416186,25.25925925925926,905.3031550068588,-60.51049777817432
E:\Research paper\output\chatgpt_policy_drafts\DPDP status quo iteration 8 GPT.txt,DPDP status quo iteration 8 GPT.txt,ChatGPT,Data Protection,Status Quo,8.0,Primary,False,1188,7.87,none,ai_draft,0.5571173193262213,0.2130796924533077,0.6500369310379028,0.7522833178005592,0.6734006734006733,22.132075471698112,370.60519757920963,-83.83412816769265
E:\Research paper\output\chatgpt_policy_drafts\DPDP status quo iteration 9 GPT.txt,DPDP status quo iteration 9 GPT.txt,ChatGPT,Data Protection,Status Quo,9.0,Primary,False,1123,7.37,none,ai_draft,0.562528579361493,0.2145317787493244,0.6618792414665222,0.7265805168986084,0.44523597506678536,23.74468085106383,641.5092802172929,-72.01723863839771
E:\Research paper\output\chatgpt_policy_drafts\DPDP unconstrained iteration 1 GPT.txt,DPDP unconstrained iteration 1 GPT.txt,ChatGPT,Data Protection,Unconstrained,1.0,Primary,False,965,6.45,none,ai_draft,0.5725253815408237,0.2589931954323684,0.6430532336235046,0.711869918699187,0.6217616580310881,17.59259259259259,335.09327846364897,-85.38316508539191
E:\Research paper\output\chatgpt_policy_drafts\DPDP unconstrained iteration 10 GPT.txt,DPDP unconstrained iteration 10 GPT.txt,ChatGPT,Data Protection,Unconstrained,10.0,Primary,False,1132,7.71,none,ai_draft,0.5770535776266349,0.2640022621498454,0.6367549896240234,0.7622178606476938,0.26501766784452296,17.453125,624.497802734375,-72.75928264226859
